date,revenue,expenses,profit,cashflow,users,churn
2023-01-01,120000,80000,40000,20000,5000,0.05
2023-02-01,130000,82000,48000,22000,5400,0.04
2023-03-01,150000,90000,60000,30000,6000,0.03
2023-04-01,160000,94000,66000,32000,6400,0.03
2023-05-01,170000,98000,72000,35000,7000,0.02
2023-06-01,185000,102000,83000,39000,7500,0.02
2023-07-01,190000,103000,87000,41000,7800,0.02
2023-08-01,200000,108000,92000,44000,8200,0.02
2023-09-01,210000,110000,100000,48000,8500,0.015
2023-10-01,220000,115000,105000,50000,9000,0.015
2023-11-01,230000,118000,112000,53000,9400,0.014
2023-12-01,250000,124000,126000,60000,10000,0.012
